1.文件名: prepare-aoe  语音: 准备AOE
2.文件名: prepare-beam  语音: 准备引线
3.文件名: prepare-interrupt  语音: 准备打断
4.文件名: prepare-pull  语音: 准备拉人
5.文件名: prepare-block-line  语音: 准备挡线
6.文件名: prepare-soak  语音: 准备接圈
7.文件名: prepare-clear-stack  语音: 准备消层
8.文件名: prepare-target  语音: 准备点名
9.文件名: prepare-arrow  语音: 准备踩箭
10.文件名: prepare-enter-circle  语音: 准备进圈
11.文件名: prepare-link  语音: 准备连线
12.文件名: prepare-ball  语音: 准备送球
13.文件名: prepare-hook  语音: 准备钩人
14.文件名: prepare-stack  语音: 准备集合
15.文件名: prepare-dispel  语音: 准备驱散
16.文件名: hit-clone  语音: 去撞分身
17.文件名: tank-buster  语音: 坦克尖刺
18.文件名: fix-camera  语音: 快卡视角
19.文件名: clear-water  语音: 快去消水
20.文件名: find-beacon  语音: 快找光柱
21.文件名: step-trap  语音: 快踩陷阱
22.文件名: 54321  语音: 54321
23.文件名: watch-knockback  语音: 注意击退
24.文件名: watch-frontal  语音: 注意头前
25.文件名: block-ball  语音: 注意挡球
26.文件名: clear-ball  语音: 注意消球
27.文件名: watch-dodge  语音: 注意躲避
28.文件名: target-frontal  语音: 点名头前
29.文件名: target-drop-water  语音: 点名放水
30.文件名: target-clear-line  语音: 点名消线
31.文件名: dodge-frontal  语音: 躲开头前
32.文件名: switch-add  语音: 转火小怪
33.文件名: phase-change  语音: 转阶段
34.文件名: away-boss  语音: 远离BOSS
35.文件名: spread-close  语音: 靠近分散
36.文件名: kite-add  语音: 风筝小怪
37.文件名: boss-enrage  语音: Boss狂暴
38.文件名: boss-vuln  语音: Boss易伤
39.文件名: you-white  语音: 你是白色
40.文件名: you-black  语音: 你是黑色
41.文件名: prepare-aoe-break  语音: 准备AOE(断条)
42.文件名: prepare-absorb-ball  语音: 准备吸球
43.文件名: drop-water  语音: 出去放水
44.文件名: intercept-add  语音: 去接小怪
45.文件名: beam-on-you  语音: 射线点你
46.文件名: watch-shockwave  语音: 小心冲击波
47.文件名: watch-launch  语音: 小心击飞
48.文件名: empower-hpal  语音: 强化奶骑
49.文件名: empower-ret  语音: 强化惩戒骑
50.文件名: empower-prot  语音: 强化防骑
51.文件名: spread-now  语音: 快分散
52.文件名: interrupt-now  语音: 快打断
53.文件名: rescue-now  语音: 快救人
54.文件名: break-shield  语音: 快破盾
55.文件名: enter-bubble  语音: 快进罩子
56.文件名: break-link  语音: 拉断连线
57.文件名: vuln-burst  语音: 易伤爆发
58.文件名: use-defensive  语音: 注意减伤
59.文件名: watch-healing  语音: 注意治疗
60.文件名: special-mechanic  语音: 特殊技能
61.文件名: switch-boss  语音: 转火大怪
62.文件名: away-add  语音: 远离大怪
63.文件名: stack-share  语音: 集合分摊
64.文件名: countdown-5  语音: 5
65.文件名: countdown-4  语音: 4
66.文件名: countdown-3  语音: 3
67.文件名: countdown-2  语音: 2
68.文件名: countdown-1  语音: 1
69.文件名: stack-drop  语音: 集合放圈
70.文件名: cc-cast  语音: 控断钢条
71.文件名: tank-knockback  语音: 坦克击退
72.文件名: summon-adds  语音: 召唤小怪
73.文件名: watch-mark  语音: 注意点名
74.文件名: watch-circle  语音: 注意躲圈
75.文件名: watch-launch-hit  语音: 注意击飞
76.文件名: prepare-dance  语音: 准备跑圈
77.文件名: prepare-fixate  语音: 准备追人
78.文件名: mirror  语音: 召唤分身
79.文件名: aoe  语音: AOE
80.文件名: watch-step  语音: 小心脚下
81.文件名: dodge-repeat  语音: 连续躲圈
82.文件名: prepare-grab  语音: 准备抓人
83.文件名: cc-add  语音: 控制小怪
84.文件名: aim-note  语音: 瞄准音符
85.文件名: wake-adds  语音: 唤醒小怪
86.文件名: drop-water-edge  语音: 贴边放水
87.文件名: approach-boss  语音: 靠近BOSS
88.文件名: clear-link  语音: 消除连线
89.文件名: aoe-after-5s  语音: 5秒后AOE
90.文件名: supply-protocol  语音: 补给协议
91.文件名: massive-aoe  语音: 超大AOE
92.文件名: aoe-continuous  语音: 持续AOE
93.文件名: hit-back  语音: 打背面
94.文件名: big-adds  语音: 召唤大怪
95.文件名: dodge-charge  语音: 躲开冲锋
96.文件名: dodge-orb  语音: 躲球
97.文件名: dodge-circle  语音: 躲圈
98.文件名: dodge-beam  语音: 躲射线
99.文件名: hook-boss  语音: 勾BOSS
100.文件名: get-buff  语音: 获得增益
101.文件名: move-group  语音: 集合移动
102.文件名: approach-link  语音: 靠近连线
103.文件名: kill-orb  语音: 快打宝珠
104.文件名: dodge-now  语音: 快躲开
105.文件名: run-now  语音: 快跑
106.文件名: run-marked  语音: 快跑！你被点名
107.文件名: link-on-you  语音: 连线点你
108.文件名: rift-on-you  语音: 裂隙点你
109.文件名: you-marked  语音: 你被点名
110.文件名: soak-lightning  语音: 圈住电水
111.文件名: stop-cast  语音: 停止施法
112.文件名: heal-absorb  语音: 吸收治疗
113.文件名: watch-bomb  语音: 小心炸弹
114.文件名: watch-explosion  语音: 小心自爆
115.文件名: vuln-over  语音: 易伤结束
116.文件名: sound-glass  语音: 音效_Glass
117.文件名: sound-info  语音: 音效_Info
118.文件名: sound-ding  语音: 音效_叮咚
119.文件名: away-group  语音: 远离人群
120.文件名: watch-wind  语音: 注意躲风
121.文件名: watch-breath  语音: 注意吐息
122.文件名: prepare-vuln  语音: 准备易伤
123.文件名: target-on-you  语音: 目标是你
124.文件名: std-absorb  语音: 吸收盾
125.文件名: std-add  语音: 注意大怪
126.文件名: std-adds  语音: 小怪快打
127.文件名: std-arrow  语音: 注意箭矢
128.文件名: std-away  语音: 远离
129.文件名: std-bait  语音: 引导位置
130.文件名: std-beam  语音: 注意射线
131.文件名: std-black  语音: 黑色
132.文件名: std-blue  语音: 蓝色
133.文件名: std-bomb  语音: 炸弹
134.文件名: std-break  语音: 打破
135.文件名: std-breath  语音: 吐息
136.文件名: std-cc  语音: 注意控断
137.文件名: std-chain  语音: 锁链
138.文件名: std-charge  语音: 冲锋
139.文件名: std-clear  语音: 清除
140.文件名: std-clone  语音: 分身
141.文件名: std-curse  语音: 诅咒
142.文件名: std-dance  语音: 躲地板
143.文件名: std-disease  语音: 疾病
144.文件名: std-dispel  语音: 驱散
145.文件名: std-dot  语音: 持续伤害
146.文件名: std-drop  语音: 放水
147.文件名: std-enrage  语音: 激怒
148.文件名: std-fixate  语音: 追人
149.文件名: std-grasp  语音: 抓握
150.文件名: std-hook  语音: 注意钩人
151.文件名: std-in  语音: 进入
152.文件名: std-intermission  语音: 阶段转换
153.文件名: std-interrupt  语音: 打断施法
154.文件名: std-kite  语音: 风筝
155.文件名: std-knock  语音: 击飞
156.文件名: std-leap  语音: 跳跃
157.文件名: std-line  语音: 连线
158.文件名: std-los  语音: 卡视野
159.文件名: std-mark  语音: 点名
160.文件名: std-move  语音: 移动
161.文件名: std-near  语音: 靠近
162.文件名: std-orb  语音: 宝珠
163.文件名: std-out  语音: 出出出
164.文件名: std-pass  语音: 传递
165.文件名: std-refresh  语音: 刷新
166.文件名: std-ring  语音: 注意大圈
167.文件名: std-root  语音: 定身
168.文件名: std-secure  语音: 救人
169.文件名: std-shield  语音: 护盾
170.文件名: std-soak  语音: 吸收
171.文件名: std-spellsteal  语音: 进攻驱散
172.文件名: std-split  语音: 分裂
173.文件名: std-spread  语音: 分散
174.文件名: std-stack  语音: 集合站位
175.文件名: std-switch  语音: 目标转换
176.文件名: std-tank-hit  语音: 坦克承伤
177.文件名: std-tank-knock  语音: 坦克击飞
178.文件名: std-totem  语音: 图腾
179.文件名: std-trap  语音: 陷阱
180.文件名: std-vulnerability  语音: 易伤
181.文件名: std-volley  语音: 齐射
182.文件名: std-wave  语音: 注意躲波
183.文件名: std-white  语音: 白色
184.文件名: std-wind  语音: 躲风
185.文件名: std-yellow  语音: 黄色
